market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,income_growth_annualized_pct,income_latest,market_display,rent_to_value,growth_score,value_score,balanced_score
"Little Rock, AR",1209.303280750517,1178.9404647568429,81,2.575432509218048,little rock,"Little Rock, AR",227427.75653036404,221153.61075721437,81,2.8370080649678044,"Little Rock-North Little Rock-Conway, AR",2.010040187452436,764045.0,0.0,,"Little Rock, AR",0.06380768816610449,2.4842874794132914,4.391179754136102,3.260545579192564
"Charleston, SC",1987.2381455613408,1928.6435620522395,75,3.0381240298623,charleston,"Charleston, SC",430380.8941557125,433929.3225301044,75,-0.8177433950999445,"Charleston-North Charleston, SC",5.717912816204612,849417.0,0.0,,"Charleston, SC",0.05540872764232944,2.68530043827632,4.43986941181986,3.2446541170814456
"Providence, RI",2127.3318326062013,2028.3066831371468,39,4.882158614982916,providence,"Providence, RI",514315.2176474589,499966.0730888853,39,2.87002365378952,"Providence-Warwick, RI-MA",0.27414272873317014,1677803.0,0.0,,"Providence, RI",0.04963489532361602,2.896113360749973,3.8000074003029707,3.2433870865978682
"Toledo, OH",1197.2019394255212,1144.0321224807883,93,4.6475807715465445,toledo,"Toledo, OH",197171.54671407244,192481.6212678404,93,2.436557534865076,"Toledo, OH",-0.9277586374824395,600141.0,0.0,,"Toledo, OH",0.07286255807456675,2.311671977833409,4.630748084027665,3.2287251173009572
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,richmond,"Richmond, VA",391101.78957448015,383881.197441924,45,1.8809444642436577,"Richmond, VA",2.512900202484191,1349732.0,0.0,,"Richmond, VA",0.051881309169825134,2.764616979818658,4.007971735312612,3.2209350349286927
"Cincinnati, OH",1549.064240175312,1494.5149922233306,28,3.6499632479986492,cincinnati,"Cincinnati, OH",305194.83921496774,297607.65928626055,28,2.549390007939713,"Cincinnati, OH-KY-IN",0.8661290050417989,2271479.0,0.0,,"Cincinnati, OH",0.06090788078172749,2.4846410030939134,4.203551490488435,3.167026343279523
"Kansas City, MO",1503.3240640764095,1456.915110831978,31,3.185426034735102,kansas city,"Kansas City, MO",323088.455147229,313483.8649472716,31,3.063822822770458,"Kansas City, MO-KS",1.1900868159790963,2221343.0,0.0,,"Kansas City, MO",0.05583575792176254,2.5503433055189073,3.9732727485080126,3.13582037854317
"Bridgeport, CT",2766.550759286882,2712.053542951267,60,2.009444705738038,bridgeport,"Bridgeport, CT",674486.495616743,640946.1569915239,60,5.232941684626189,"Bridgeport-Stamford-Danbury, CT",0.9337526716909483,951558.0,0.0,,"Bridgeport, CT",0.049220569021305824,2.6537861891903565,3.5729620950137075,3.128918381226812
"Milwaukee, WI",1503.898724650894,1451.1699191597063,41,3.633537657789944,milwaukee,"Milwaukee, WI",379291.409236208,360443.26959561225,41,5.229155662066274,"Milwaukee-Waukesha, WI",-0.8924874053335841,1560424.0,0.0,,"Milwaukee, WI",0.04758026218456187,2.754415540135785,3.4501387259259935,3.1258336052113935
"Omaha, NE",1411.7868121280287,1363.9563844700192,59,3.5067417259529576,omaha,"Omaha, NE",304632.4245030368,298929.0595791356,59,1.9079325817071668,"Omaha, NE-IA",1.529490912617913,983969.0,0.0,,"Omaha, NE",0.0556127331920554,2.433923738678707,3.9786764454876606,3.0236330552082653
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,madison,"Madison, WI",443055.9358589337,429918.7158646071,88,3.055745076812127,"Madison, WI",1.8247490108549325,694345.0,0.0,,"Madison, WI",0.04531796463477202,2.6056741879745506,3.507185522428017,2.9826272858680296
