market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,income_growth_annualized_pct,income_latest,market_display,rent_to_value,growth_score,value_score,balanced_score,affordability_gap
"Boise City, ID",1794.3527533235515,1720.9227722650546,79,4.266895774866722,boise city,"Boise City, ID",488569.9782549433,485514.9985077279,79,0.6292245876244992,"Boise City, ID",7.0673038847191005,824657.0,0.0,,"Boise City, ID",0.044071952838344,4.015716851649769,4.533360032596814,4.085639907312797,-0.6292245876244992
"Springfield, MA",1913.2097908931016,1816.5103200253984,85,5.323364794665805,springfield,"Springfield, MA",366073.654773456,358335.07619139133,85,2.1595928214215294,"Springfield, MO",3.0820515942406232,491053.0,0.0,,"Springfield, MA",0.06271556882432595,3.7018392425649678,5.0328210011397365,4.161731918801799,-2.1595928214215294
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,winston,"Winston, NC",280078.4807090881,273447.2471786535,89,2.4250503886412025,"Winston-Salem, NC",2.7315125218937464,695630.0,0.0,,"Winston, NC",0.06462503514141597,3.260979187211142,4.877064457338998,3.8671491660000497,-2.4250503886412025
"Harrisburg, PA",1445.832280911996,1400.8093620467769,99,3.2140646746845194,harrisburg,"Harrisburg, PA",306956.080254164,296340.3677348082,99,3.5822701444629725,"Harrisburg-Carlisle, PA",2.237205904928027,606055.0,0.0,,"Harrisburg, PA",0.056522703041353387,3.0314686846911076,4.274616282436476,3.549542475580173,-3.5822701444629725
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,richmond,"Richmond, VA",391101.78957448015,383881.197441924,45,1.8809444642436577,"Richmond, VA",2.512900202484191,1349732.0,0.0,,"Richmond, VA",0.051881309169825134,2.764616979818658,4.007971735312612,3.2209350349286927,-1.8809444642436577
"Charleston, SC",1987.2381455613408,1928.6435620522395,75,3.0381240298623,charleston,"Charleston, SC",430380.8941557125,433929.3225301044,75,-0.8177433950999445,"Charleston-North Charleston, SC",5.717912816204612,849417.0,0.0,,"Charleston, SC",0.05540872764232944,2.68530043827632,4.43986941181986,3.2446541170814456,0.8177433950999445
