market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,acs_market,income_latest,income_growth_annualized_pct,market_display,rent_to_value,growth_score,value_score,balanced_score,affordability_gap
"Atlanta, GA",1811.3570402502407,1789.824751198902,9,1.2030389588095391,atlanta,"Atlanta, GA",379509.1149501,389072.079516484,9,-2.4578902136252667,"Atlanta-Sandy Springs-Roswell, GA",3.045525220439191,6307261.0,"Atlanta-Sandy Springs-Roswell, GA Metro Area",89724.0,5.603239131750493,"Atlanta, GA",0.057274736302080374,2.031524732965229,3.8093446088809735,2.398055611946474,8.06112934537576
"Albuquerque, NM",1488.904571167752,1476.18162466859,62,0.8618821889222675,albuquerque,"Albuquerque, NM",348859.6422167218,345859.66721302475,62,0.8673966027525456,"Albuquerque, NM",0.5140701781535977,922296.0,"Albuquerque, NM Metro Area",70783.0,5.533734426656722,"Albuquerque, NM",0.051215023728407125,1.9439951284297694,3.4278687471134637,2.3667361446692468,4.666337823904176
"Nashville, TN",1784.0805485402277,1787.55171520199,37,-0.1941855238224545,nashville,"Nashville, TN",453872.5632779766,457534.4930027733,37,-0.8003614548847876,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.997983918834432,2102573.0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",85447.0,5.190157614574709,"Nashville, TN",0.047169554440264105,2.0787074352285915,3.3916872057614094,2.3365529513532186,5.990519069459496
"Baltimore, MD",1868.3969815282571,1829.1031465158403,20,2.1482569251092003,baltimore,"Baltimore, MD",399959.8141579682,396624.7585516088,20,0.8408591582982292,"Baltimore-Columbia-Towson, MD",-0.2938084925851348,2834316.0,"Baltimore-Columbia-Towson, MD Metro Area",99470.0,4.040521581642631,"Baltimore, MD",0.05605754124459058,1.74932718145678,3.4909207739614034,2.295441799417304,3.1996624233444018
"Urban Honolulu, HI",2843.492464886101,2707.551437441576,55,5.020810521442154,urban honolulu,"Urban Honolulu, HI",854778.1361276697,855433.6037534798,55,-0.0766240211904231,"Urban Honolulu, HI",-2.270942582914444,989408.0,"Urban Honolulu, HI Metro Area",106195.0,4.343565298287078,"Urban Honolulu, HI",0.03991902475794814,2.00907403103772,2.8527086975108418,2.2531877405662026,4.420189319477501
"Phoenix, AZ",1735.3804459866071,1749.5068395213116,11,-0.8074500319512679,phoenix,"Phoenix, AZ",448160.22660581255,457455.2284921096,11,-2.031893244927115,"Phoenix-Mesa-Chandler, AZ",3.9970085612090136,5070110.0,"Phoenix-Mesa-Chandler, AZ Metro Area",88301.0,6.6881203776981035,"Phoenix, AZ",0.04646678601882248,2.0226685761559757,3.369467882397678,2.2257864210905205,8.720013622625219
"Dallas, TX",1644.5378592547602,1645.967036014605,4,-0.08682900256041585,dallas,"Dallas, TX",364734.092138038,378767.5988103248,4,-3.705044126362648,"Dallas-Fort Worth-Arlington, TX",5.656083453837242,8100037.0,"Dallas-Fort Worth-Arlington, TX Metro Area",90275.0,5.134659615164483,"Dallas, TX",0.054106415430966566,1.930628241209777,3.6698713917234267,2.20702876935221,8.839703741527131
"Sacramento, CA",2224.7684610194187,2187.89507724812,26,1.6853360179262953,sacramento,"Sacramento, CA",580005.9658640631,591681.3726445754,26,-1.973259142556403,"Sacramento-Roseville-Folsom, CA",0.8574479725036656,2420608.0,"Sacramento-Roseville-Folsom, CA Metro Area",97188.0,6.100859056378982,"Sacramento, CA",0.04602921884167324,1.8505257340872698,3.170535390640997,2.1087818643719216,8.074118198935386
"Houston, TX",1609.765182409726,1623.7936033613594,5,-0.8639288221479335,houston,"Houston, TX",307492.5203130558,314009.8496935001,5,-2.0755174994688126,"Houston-Pasadena-The Woodlands, TX",4.764167899917461,7510253.0,"Houston-Pasadena-The Woodlands, TX Metro Area",82168.0,4.006193577242323,"Houston, TX",0.0628216327644329,1.5183082227518034,3.805386622704377,2.0653110814677045,6.0817110767111355
"Tucson, AZ",1448.4734039794378,1435.6310828317162,54,0.89454187090953,tucson,"Tucson, AZ",342047.4253900656,349267.5327489251,54,-2.0672140069915286,"Tucson, AZ",1.7209558207955604,1063162.0,"Tucson, AZ Metro Area",70315.0,5.666058895388515,"Tucson, AZ",0.050816581437300556,1.701673438920572,3.322258252043413,2.0498443311254,7.733272902380044
"San Antonio, TX",1391.1211384747246,1413.333631271095,24,-1.571638309943384,san antonio,"San Antonio, TX",279025.64630840253,285709.5397080288,24,-2.339401549719561,"San Antonio-New Braunfels, TX",5.274348011271835,2703999.0,"San Antonio-New Braunfels, TX Metro Area",76213.0,4.786049064153297,"San Antonio, TX",0.05982766775225275,1.5757274659293556,3.7316187087016797,2.0487045439390594,7.125450613872858
"San Francisco, CA",3161.3807288755456,2972.080692372431,12,6.369276479906342,san francisco,"San Francisco, CA",1143246.4124088008,1165461.9823764674,12,-1.9061599866490169,"San Francisco-Oakland-Fremont, CA",-3.6676427247672247,4566961.0,"San Francisco-Oakland-Fremont, CA Metro Area",136027.0,5.109838253638999,"San Francisco, CA",0.03318319509665011,1.8900998288600428,2.4743485820010704,1.9972741548708886,7.015998240288015
"Memphis, TN",1434.5016418436462,1422.219277159152,44,0.8636055551875228,memphis,"Memphis, TN",244084.2495570482,244488.3010284272,44,-0.16526413316276575,"Memphis, TN-MS-AR",-0.779840911859703,1335674.0,"Memphis, TN-MS-AR Metro Area",66401.0,4.529266909754237,"Memphis, TN",0.07052490987584364,1.1633853393973372,3.849049264058996,1.9906074098808888,4.694531042917003
"Tampa, FL",1987.88369408026,2020.143271877172,18,-1.5968955393414026,tampa,"Tampa, FL",357964.9006054096,373971.08425082994,18,-4.280059159516378,"Tampa-St. Petersburg-Clearwater, FL",4.866479621861656,3342963.0,"Tampa-St. Petersburg-Clearwater, FL Metro Area",74392.0,6.116711790610507,"Tampa, FL",0.06663950652317846,1.4107173594123446,3.978716258561007,1.9409951636034832,10.396770950126886
"San Jose, CA",3469.705654404029,3310.0220051244028,36,4.824247362477112,san jose,"San Jose, CA",1636392.733218131,1662648.5664433823,36,-1.5791571204620825,"San Jose-Sunnyvale-Santa Clara, CA",-2.501931654989883,1945767.0,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",162111.0,5.7671689347450705,"San Jose, CA",0.02544405570108225,1.9477521045895139,2.200489490837338,1.924938707994133,7.346326055207153
"Salt Lake City, UT",1607.0705085301731,1617.1467752151314,48,-0.6230891864232774,salt lake city,"Salt Lake City, UT",564834.9693100314,555496.6443575026,48,1.6810767530971653,"Salt Lake City-Murray, UT",0.5971414017509589,1267864.0,"Salt Lake City-Murray, UT Metro Area",98083.0,5.557639832189043,"Salt Lake City, UT",0.03414244363432259,1.6879839031774504,2.5342714459817417,1.9235359553164528,3.876563079091878
"Colorado Springs, CO",1732.7706345761244,1722.1572833197592,80,0.6162823430335038,colorado springs,"Colorado Springs, CO",455896.75016037625,465685.370682397,80,-2.1019815390972827,"Colorado Springs, CO",1.5458416542513287,768832.0,"Colorado Springs, CO Metro Area",90144.0,5.5874874049716805,"Colorado Springs, CO",0.04560955437299959,1.5478206598963469,3.004673503213731,1.844483405378515,7.689468944068963
"Seattle, WA",2191.5748041286133,2158.428352974352,15,1.5356753032170327,seattle,"Seattle, WA",751552.4489106666,764904.5848698043,15,-1.7455949700458895,"Seattle-Tacoma-Bellevue, WA",0.4228855227314933,4044837.0,"Seattle-Tacoma-Bellevue, WA Metro Area",115177.0,5.806704408020091,"Seattle, WA",0.0349927642277823,1.668981079643828,2.5649046783409073,1.8056092813621318,7.552299378065981
"Miami, FL",2665.174338661885,2647.2938781176567,8,0.675424088425804,miami,"Miami, FL",472936.5813361502,492358.24701808766,8,-3.9446207714733346,"Miami-Fort Lauderdale-West Palm Beach, FL",0.8125066745579304,6183199.0,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",76527.0,6.152813456890849,"Miami, FL",0.06762448354827227,1.155033105095269,3.7947513155061063,1.7873631473256237,10.097434228364182
"Las Vegas, NV",1726.839913721102,1732.935835731475,30,-0.35176847778670867,las vegas,"Las Vegas, NV",431014.880522162,442068.92923249374,30,-2.5005260445522426,"Las Vegas-Henderson-North Las Vegas, NV",2.7116072138967784,2336573.0,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",76472.0,5.203692044503461,"Las Vegas, NV",0.04807740962341956,1.3731890623535987,3.047960445690686,1.7161736676742154,7.704218089055703
"San Diego, CA",2889.899307467977,2849.5429720971288,17,1.4162388764099907,san diego,"San Diego, CA",941934.5225019474,959434.6492932856,17,-1.8240040428213329,"San Diego-Chula Vista-Carlsbad, CA",-0.768519265935888,3269973.0,"San Diego-Chula Vista-Carlsbad, CA Metro Area",106268.0,6.115072601034477,"San Diego, CA",0.03681656300005082,1.3967091881333777,2.4887637624464407,1.610818022558711,7.93907664385581
"Washington, DC",2346.928710141152,2349.4539706541805,6,-0.1074828681289482,washington,"Washington, DC",580334.5892207911,582599.5219459245,6,-0.3887632309701071,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.7134469837041642,6304975.0,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",126684.0,4.074874354746227,"Washington, DC",0.04852915032948177,1.087082827979892,2.847061212277886,1.5809781594060464,4.463637585716334
"North Port, FL",2121.248724301508,2198.301525651306,73,-3.5051061217350012,north port,"North Port, FL",403900.23118370137,435176.6318452403,73,-7.187058856749829,"North Port-Bradenton-Sarasota, FL",8.62343887255089,910108.0,"North Port-Bradenton-Sarasota, FL Metro Area",80859.0,5.864578453839409,"North Port, FL",0.06302295152695937,1.1330607237271084,3.7647636137364833,1.5292594363987342,13.051637310589237
"Austin, TX",1579.0322709010477,1616.7172072333751,29,-2.3309541188601672,austin,"Austin, TX",427044.75210771296,454036.1427695214,29,-5.944766973212053,"Austin-Round Rock-San Marcos, TX",7.527384262228086,2473275.0,"Austin-Round Rock-San Marcos, TX Metro Area",100431.0,5.499782609739512,"Austin, TX",0.044370963832926914,1.3685520876914388,3.0066485881266205,1.4993059075299708,11.444549582951565
"New Orleans, LA",1610.2984904485918,1610.4403793932895,47,-0.00881056799824943,new orleans,"New Orleans, LA",256891.79305880444,251638.3757595082,47,2.087685267972383,"New Orleans-Metairie, LA",-4.288950054760808,962165.0,"New Orleans-Metairie, LA Metro Area",62655.0,3.370928867988443,"New Orleans, LA",0.07522070540011291,0.18538858650191048,3.454675506586727,1.3600407552421347,1.28324360001606
"Los Angeles, CA",2894.901157378155,2871.3437396936024,2,0.8204318193915137,los angeles,"Los Angeles, CA",967836.2013417816,970807.671657721,2,-0.3060822861922184,"Los Angeles-Long Beach-Anaheim, CA",-2.879277965924468,12799100.0,"Los Angeles-Long Beach-Anaheim, CA Metro Area",95958.0,5.621916931051429,"Los Angeles, CA",0.03589327805715153,0.8705728298607507,2.119049901630368,1.2308184614920998,5.927999217243648
"Oxnard, CA",2994.602869220374,2967.544135986065,71,0.9118224361410453,oxnard,"Oxnard, CA",885255.4550325364,894204.8449612545,71,-1.000821006411106,"Oxnard-Thousand Oaks-Ventura, CA",-1.6340376892257382,829590.0,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",109797.0,4.494240856322507,"Oxnard, CA",0.04059306748843895,0.7884333213342845,2.2924097768243143,1.208728053498978,5.495061862733612
"Cape Coral, FL",1858.9009738860825,1941.2909761245603,78,-4.244083099945927,cape coral,"Cape Coral, FL",339951.87496223114,372788.7519208858,78,-8.808440917129227,"Cape Coral-Fort Myers, FL",9.016559401316966,834573.0,"Cape Coral-Fort Myers, FL Metro Area",76107.0,5.645566993665652,"Cape Coral, FL",0.0656175574531286,0.630618485336031,3.634652487933368,1.0939796823811254,14.454007910794878
"Denver, CO",1857.6390717759405,1880.9240005330196,19,-1.2379515998775383,denver,"Denver, CO",573362.9030812165,591916.8636447497,19,-3.1345551551423205,"Denver-Aurora-Centennial, CO",1.1788079871547235,3005131.0,"Denver-Aurora-Centennial, CO Metro Area",105762.0,5.831148498332528,"Denver, CO",0.03887881260108955,0.7541926103800871,2.3018917843762545,1.0487745551159449,8.965703653474849
